"gene","importance"
"CRNKL1",6.16340418703971
"SRSF1",4.84790406235824
"STAG3L5P",4.77233905905625
"ZFP36",4.6856620302182
"LRRC40",4.57268679680161
"RNA5S9",4.30823388144352
"ATF3",4.28352820763544
"RNY3",4.0734672597178
"H2AC12",4.02470037268559
"MZT2B",3.53732140305191
"NDUFV2",3.53619246065843
"KANSL1",3.47721992503961
"ATP5ME",3.27416392930092
"ITM2B",3.19492355888464
"PEMT",3.03834997448088
"MED30",3.02195072988399
"PRPF6",2.79937757255048
"DEPP1",2.77683304164899
"VMP1",2.67442414336855
"CERS5",2.6605547301994
"ABCF1",2.64241912173912
"CUEDC2",2.60331385459103
"HTATSF1",2.58975889616951
"DCAF8",2.55540229300003
"EBLN2",2.55098728685585
"PRPF8",2.48663712880513
"RNY4",2.47165093036937
"CHMP2A",2.38096576424729
"HNRNPM",2.37480769538555
"PRPF31",2.35928631296097
"COPS3",2.34043749691298
"H4C3",2.31806807552416
"ZNF100",2.31466947759224
"SDHAF1",2.26372464528165
"ARHGAP44",2.23051075537241
"RRP9",2.19816874232191
"PSMD8",2.16558107512816
"H2BC12",2.04784287574104
"RN7SL648P",2.02828243519301
"RNF138",2.02764776497106
"KEL",2.00082991111813
"XAB2",1.92748999908956
"DDX49",1.91944203227232
"GCNT1P3",1.87428386106045
"CDK4",1.84381843444916
"TXNDC9",1.77138017636518
"H2BC11",1.76691228272998
"H4C5",1.75436228008831
"WSB1",1.74859187606208
"SIK1B",1.73701921237002
"SPDYA",1.72759372496744
"CEP89",1.72047351503295
"ILF2",1.70367191109151
"NELFE",1.70147127694731
"MALAT1",1.6734976061688
"RIPOR3",1.65429098561541
"H2BC13",1.45046600533103
"BCL2L2",1.35210163254527
"MAPKAPK5.AS1",1.3324356170958
"SNAPC3",1.30800577838749
"MRVI1",1.23917760330728
"DAXX",1.16879246270597
"COL13A1",1.16719524369803
"MTND1P23",1.15047014288723
"TTC39B",1.12829083361503
"RN7SL600P",1.1029569175013
"NPTN.IT1",1.10260855353995
"ITGA8",1.07785597909352
"MAPK10",1.05018944284641
"CYSLTR2",1.0211775523772
"COX5B",0.868978567001323
"SLC7A11",0.712772657803638
"EGFL7",0.70318681788543
"LMLN",0.690554984819397
"HNRNPUL1",0.608888957929463
"PDHB",0.527354898439832
"NEBL",0.479960053578445
"MEG8",0.384945441078274
"BTBD19",0.325625873801445
"GABRE",0.240306410519351
"PRKCSH",0.0534825125810773
"CARMN",-0.408886314531031
"MEG3",-0.617962491460326
"SOX4",-0.727914091642032
"IL1RN",-1.63205310135505
