"gene","n_folds_selected","signature_size"
"CYSLTR2",5,50
"GABRE",5,50
"MEG8",5,50
"MIR3609",5,50
"RN7SL600P",5,50
"RNU6ATAC",5,50
"SNORA53",5,50
"VMP1",5,50
"DEPP1",4,50
"KEL",4,50
"MEG3",4,50
"RNA5S9",4,50
"RNY3",4,50
"SNORA37",4,50
"SNORD3C",4,50
"CRNKL1",3,50
"EBLN2",3,50
"IL1RN",3,50
"LRRC40",3,50
"RIPOR3",3,50
"RN7SKP255",3,50
"RN7SKP79",3,50
"ZFP36",3,50
"ABCF1",2,50
"BCL2L2",2,50
"CARMN",2,50
"COX5B",2,50
"CUEDC2",2,50
"DAXX",2,50
"H2AC12",2,50
"CYSLTR2",5,100
"GABRE",5,100
"LRRC40",5,100
"MEG3",5,100
"MEG8",5,100
"MIR3609",5,100
"RN7SKP255",5,100
"RN7SL600P",5,100
"RNU6ATAC",5,100
"SNORA37",5,100
"SNORA53",5,100
"SNORD3C",5,100
"VMP1",5,100
"ARHGAP44",4,100
"ATF3",4,100
"ATP5ME",4,100
"BCL2L2",4,100
"CRNKL1",4,100
"DAXX",4,100
"DEPP1",4,100
"EBLN2",4,100
"HTATSF1",4,100
"KEL",4,100
"RN7SKP79",4,100
"RNA5S9",4,100
"RNY3",4,100
"SNORA73B",4,100
"TXNDC9",4,100
"ZFP36",4,100
"ABCF1",3,100
"ABCF1",5,250
"ARHGAP44",5,250
"ATF3",5,250
"ATP5ME",5,250
"BCL2L2",5,250
"CARMN",5,250
"CERS5",5,250
"CRNKL1",5,250
"CYSLTR2",5,250
"DAXX",5,250
"DCAF8",5,250
"DEPP1",5,250
"EBLN2",5,250
"GABRE",5,250
"H4C5",5,250
"HTATSF1",5,250
"LRRC40",5,250
"MEG3",5,250
"MEG8",5,250
"MIR3609",5,250
"NDUFV2",5,250
"NELFE",5,250
"PRPF31",5,250
"PRPF6",5,250
"RN7SKP255",5,250
"RN7SKP48",5,250
"RN7SL600P",5,250
"RNU6ATAC",5,250
"RNY4",5,250
"SNORA37",5,250
"ABCF1",5,500
"ARHGAP44",5,500
"ATF3",5,500
"ATP5ME",5,500
"BCCIP",5,500
"BCL2L2",5,500
"BTBD19",5,500
"CARMN",5,500
"CDK4",5,500
"CEP89",5,500
"CERS5",5,500
"CHMP2A",5,500
"CIAO2B",5,500
"COL13A1",5,500
"COPS3",5,500
"CRNKL1",5,500
"CUEDC2",5,500
"CYSLTR2",5,500
"DAXX",5,500
"DCAF8",5,500
"DDX49",5,500
"DEPP1",5,500
"EAPP",5,500
"EBLN2",5,500
"EGFL7",5,500
"GABRE",5,500
"H2BC12",5,500
"H2BC13",5,500
"H4C3",5,500
"H4C5",5,500
