"gene","n_folds_selected","importance"
"LRRC40",5,4.57268679680161
"VMP1",5,2.67442414336855
"RN7SL600P",5,1.1029569175013
"CYSLTR2",5,1.0211775523772
"MEG8",5,0.384945441078274
"GABRE",5,0.240306410519351
"MEG3",5,-0.617962491460326
"CRNKL1",4,6.16340418703971
"ZFP36",4,4.6856620302182
"RNA5S9",4,4.30823388144352
"ATF3",4,4.28352820763544
"RNY3",4,4.0734672597178
"ATP5ME",4,3.27416392930092
"DEPP1",4,2.77683304164899
"HTATSF1",4,2.58975889616951
"EBLN2",4,2.55098728685585
"ARHGAP44",4,2.23051075537241
"KEL",4,2.00082991111813
"TXNDC9",4,1.77138017636518
"BCL2L2",4,1.35210163254527
"DAXX",4,1.16879246270597
