rank,gene,gene_symbol,importance
1,CRNKL1,CRNKL1,6.16340418703971
2,SRSF1,SRSF1,4.84790406235824
3,STAG3L5P,STAG3L5P,4.77233905905625
4,ZFP36,ZFP36,4.6856620302182
5,LRRC40,LRRC40,4.57268679680161
6,RNA5S9,RNA5S9,4.30823388144352
7,ATF3,ATF3,4.28352820763544
8,RNY3,RNY3,4.0734672597178
9,H2AC12,H2AC12,4.02470037268559
10,MZT2B,MZT2B,3.53732140305191
11,NDUFV2,NDUFV2,3.53619246065843
12,KANSL1,KANSL1,3.47721992503961
13,ATP5ME,ATP5ME,3.27416392930092
14,ITM2B,ITM2B,3.19492355888464
15,PEMT,PEMT,3.03834997448088
16,MED30,MED30,3.02195072988399
17,PRPF6,PRPF6,2.79937757255048
18,DEPP1,DEPP1,2.77683304164899
19,VMP1,VMP1,2.67442414336855
20,CERS5,CERS5,2.6605547301994
